id,type,Class
AKR1C3,gene,NA
PTGER1,gene,NA
PTGER3,gene,NA
PTGFR,gene,NA
PTGIR,gene,NA
KDM6B,gene,NA
UTY,gene,NA
CRABP2,gene,NA
RARA,gene,NA
RARB,gene,NA
RARG,gene,NA
RXRA,gene,NA
RXRB,gene,NA
RXRG,gene,NA
HCAR3,gene,NA
CES2,gene,NA
CES5A,gene,NA
DPYD,gene,NA
TYMP,gene,NA
TYMS,gene,NA
NR1I2,gene,NA
TSPO,gene,NA
MAPK14,gene,NA
AURKA,gene,NA
CACNG1,gene,NA
CYP3A7,gene,NA
EDN1,gene,NA
HTR3A,gene,NA
KCNA5,gene,NA
ATP1A1,gene,NA
CA1,gene,NA
KCNMA1,gene,NA
SLC12A3,gene,NA
APOA1,gene,NA
APOA2,gene,NA
APOB,gene,NA
APOE,gene,NA
CETP,gene,NA
CRAT,gene,NA
HBE1,gene,NA
HBG1,gene,NA
HBG2,gene,NA
HSD11B1,gene,NA
LPL,gene,NA
PPARA,gene,NA
PPARD,gene,NA
SERPINE1,gene,NA
UCP3,gene,NA
CDK2,gene,NA
GSK3A,gene,NA
GSK3B,gene,NA
ERBB2,gene,NA
ADORA2A,gene,NA
PDE2A,gene,NA
MET,gene,NA
CYP3A4,gene,NA
FGFR2,gene,NA
FGFR3,gene,NA
FLT1,gene,NA
FLT4,gene,NA
KCNH2,gene,NA
KDR,gene,NA
PDGFRA,gene,NA
STK35,gene,NA
Hypokalemia,indication,Nutritional and Metabolic Diseases
Alkalosis,indication,Nutritional and Metabolic Diseases
Hypertriglyceridemia,indication,Nutritional and Metabolic Diseases
Insulin Resistance,indication,Nutritional and Metabolic Diseases
Insulin Sensitivity,indication,Nutritional and Metabolic Diseases
Dyslipidemias,indication,Nutritional and Metabolic Diseases
Dyslipoproteinemias,indication,Nutritional and Metabolic Diseases
Hyperlipidemia,indication,Nutritional and Metabolic Diseases
Lipidemias,indication,Nutritional and Metabolic Diseases
"Hypobetalipoproteinemia, Familial, Apolipoprotein B",indication,Nutritional and Metabolic Diseases
Familial hypobetalipoproteinemia,indication,Nutritional and Metabolic Diseases
Acanthocytosis With Hypobetalipoproteinemia,indication,Nutritional and Metabolic Diseases
Abdominal obesity metabolic syndrome,indication,Nutritional and Metabolic Diseases
