ID,Description,source,Ratio,BgRatio,pvalue,FDR,disease_class,disease_class_name,disease_semantic_type,shared_geneid,shared_symbol,Count,gg,sig
C0041696,Unipolar Depression,CURATED,24/213,259/9703,2.2226049416138528e-9,3.265208714225442e-7,F03,Mental Disorders,Mental or Behavioral Dysfunction,2932;1956;2100;2475;3791;10014;6532;886;627;815;3351;3363;4915;6530;148;5243;7297;613;2065;5604;2247;9734;4916;9641,GSK3B;EGFR;ESR2;MTOR;KDR;HDAC5;SLC6A4;CCKAR;BDNF;CAMK2A;HTR1B;HTR7;NTRK2;SLC6A2;ADRA1A;ABCB1;TYK2;BCR;ERBB3;MAP2K1;FGF2;HDAC9;NTRK3;IKBKE,24,0.09795918367346938,TRUE
C0011570,Mental Depression,CURATED,23/213,254/9703,7.644485786846667e-9,1.0294574192953511e-6,F01,Behavior and Behavior Mechanisms,Mental or Behavioral Dysfunction,2263;2932;2099;7422;10014;6532;627;238;367;815;1812;3066;3351;3363;4915;6530;6531;5243;2065;153;9759;9734;10013,FGFR2;GSK3B;ESR1;VEGFA;HDAC5;SLC6A4;BDNF;ALK;AR;CAMK2A;DRD1;HDAC2;HTR1B;HTR7;NTRK2;SLC6A2;SLC6A3;ABCB1;ERBB3;ADRB1;HDAC4;HDAC9;HDAC6,23,0.09387755102040816,TRUE
C0151779,Cutaneous Melanoma,CURATED,10/213,41/9703,1.3150579882130133e-8,1.6347182376555611e-6,C04;C17,Neoplasms;Skin and Connective Tissue Diseases,Neoplastic Process,5728;238;2066;3815;5058;5894;5156;5979;5604;5605,PTEN;ALK;ERBB4;KIT;PAK1;RAF1;PDGFRA;RET;MAP2K1;MAP2K2,10,0.04081632653061224,TRUE
C1269683,Major Depressive Disorder,CURATED,22/213,243/9703,1.6565515675765812e-8,1.9121338094312537e-6,F03,Mental Disorders,Mental or Behavioral Dysfunction,2932;1956;2100;2475;3791;7422;10014;6532;886;627;815;3351;4915;6530;148;5243;7297;613;2065;5604;4916;9641,GSK3B;EGFR;ESR2;MTOR;KDR;VEGFA;HDAC5;SLC6A4;CCKAR;BDNF;CAMK2A;HTR1B;NTRK2;SLC6A2;ADRA1A;ABCB1;TYK2;BCR;ERBB3;MAP2K1;NTRK3;IKBKE,22,0.08979591836734693,TRUE
C0011581,Depressive disorder,CURATED,24/213,289/9703,1.9460497492539984e-8,2.0965442631963074e-6,F03,Mental Disorders,Mental or Behavioral Dysfunction,2263;2932;2099;6774;7422;10014;6532;627;238;367;815;1812;3351;3363;4915;6530;6531;5243;3352;153;5607;2247;9734;10013,FGFR2;GSK3B;ESR1;STAT3;VEGFA;HDAC5;SLC6A4;BDNF;ALK;AR;CAMK2A;DRD1;HTR1B;HTR7;NTRK2;SLC6A2;SLC6A3;ABCB1;HTR1D;ADRB1;MAP2K5;FGF2;HDAC9;HDAC6,24,0.09795918367346938,TRUE
C0001418,Adenocarcinoma,CURATED,15/213,116/9703,3.213782559040335e-8,2.473082197813896e-6,C04,Neoplasms,Neoplastic Process,5728;25;780;1548;1571;1956;2064;2099;2100;2475;3312;3791;4233;6774;7422,PTEN;ABL1;DDR1;CYP2A6;CYP2E1;EGFR;ERBB2;ESR1;ESR2;MTOR;HSPA8;KDR;MET;STAT3;VEGFA,15,0.061224489795918366,TRUE
C0205641,"Adenocarcinoma, Basal Cell",CURATED,15/213,116/9703,3.213782559040335e-8,2.473082197813896e-6,C04,Neoplasms,Neoplastic Process,5728;25;780;1548;1571;1956;2064;2099;2100;2475;3312;3791;4233;6774;7422,PTEN;ABL1;DDR1;CYP2A6;CYP2E1;EGFR;ERBB2;ESR1;ESR2;MTOR;HSPA8;KDR;MET;STAT3;VEGFA,15,0.061224489795918366,TRUE
C0205642,"Adenocarcinoma, Oxyphilic",CURATED,15/213,116/9703,3.213782559040335e-8,2.473082197813896e-6,C04,Neoplasms,Neoplastic Process,5728;25;780;1548;1571;1956;2064;2099;2100;2475;3312;3791;4233;6774;7422,PTEN;ABL1;DDR1;CYP2A6;CYP2E1;EGFR;ERBB2;ESR1;ESR2;MTOR;HSPA8;KDR;MET;STAT3;VEGFA,15,0.061224489795918366,TRUE
C0205643,"Carcinoma, Cribriform",CURATED,15/213,116/9703,3.213782559040335e-8,2.473082197813896e-6,C04,Neoplasms,Neoplastic Process,5728;25;780;1548;1571;1956;2064;2099;2100;2475;3312;3791;4233;6774;7422,PTEN;ABL1;DDR1;CYP2A6;CYP2E1;EGFR;ERBB2;ESR1;ESR2;MTOR;HSPA8;KDR;MET;STAT3;VEGFA,15,0.061224489795918366,TRUE
C0205644,"Carcinoma, Granular Cell",CURATED,15/213,116/9703,3.213782559040335e-8,2.473082197813896e-6,C04,Neoplasms,Neoplastic Process,5728;25;780;1548;1571;1956;2064;2099;2100;2475;3312;3791;4233;6774;7422,PTEN;ABL1;DDR1;CYP2A6;CYP2E1;EGFR;ERBB2;ESR1;ESR2;MTOR;HSPA8;KDR;MET;STAT3;VEGFA,15,0.061224489795918366,TRUE
C0205645,"Adenocarcinoma, Tubular",CURATED,15/213,116/9703,3.213782559040335e-8,2.473082197813896e-6,C04,Neoplasms,Neoplastic Process,5728;25;780;1548;1571;1956;2064;2099;2100;2475;3312;3791;4233;6774;7422,PTEN;ABL1;DDR1;CYP2A6;CYP2E1;EGFR;ERBB2;ESR1;ESR2;MTOR;HSPA8;KDR;MET;STAT3;VEGFA,15,0.061224489795918366,TRUE
C0678222,Breast Carcinoma,CURATED,33/213,538/9703,7.085663154680405e-8,5.204741662710697e-6,C04;C17,Neoplasms;Skin and Connective Tissue Diseases,Neoplastic Process,2263;5728;1719;25;1956;2064;2099;2100;2475;3791;6774;695;5970;238;367;1728;2066;6790;5243;2065;6714;1111;1436;2050;2321;3756;3815;4193;4214;5058;5894;9175;11200,FGFR2;PTEN;DHFR;ABL1;EGFR;ERBB2;ESR1;ESR2;MTOR;KDR;STAT3;BTK;RELA;ALK;AR;NQO1;ERBB4;AURKA;ABCB1;ERBB3;SRC;CHEK1;CSF1R;EPHB4;FLT1;KCNH1;KIT;MDM2;MAP3K1;PAK1;RAF1;MAP3K13;CHEK2,33,0.1346938775510204,TRUE
C0025202,melanoma,CURATED,21/213,248/9703,1.1343566583855286e-7,7.970088521526148e-6,C04,Neoplasms,Neoplastic Process,5728;25;4233;238;2185;3066;2066;6790;2321;3815;4193;5058;5894;5156;5979;5604;5605;6098;10013;1017;4293,PTEN;ABL1;MET;ALK;PTK2B;HDAC2;ERBB4;AURKA;FLT1;KIT;MDM2;PAK1;RAF1;PDGFRA;RET;MAP2K1;MAP2K2;ROS1;HDAC6;CDK2;MAP3K9,21,0.08571428571428572,TRUE
C0007112,Adenocarcinoma of prostate,CURATED,7/213,20/9703,1.3605633377774523e-7,9.161126474368178e-6,C04;C12,Neoplasms;Male Urogenital Diseases,Neoplastic Process,5728;1956;367;3066;6790;11200;2048,PTEN;EGFR;AR;HDAC2;AURKA;CHEK2;EPHB2,7,0.02857142857142857,TRUE
C0027659,"Neoplasms, Experimental",CURATED,11/213,66/9703,1.6611872511758502e-7,1.0737914391600697e-5,C04,Neoplasms,Experimental Model of Disease;Neoplastic Process,25;2064;6774;7422;5970;1728;3082;613;558;3274;5598,ABL1;ERBB2;STAT3;VEGFA;RELA;NQO1;HGF;BCR;AXL;HRH2;MAPK7,11,0.044897959183673466,TRUE
C1335167,Ovarian Mucinous Adenocarcinoma,CURATED,8/213,31/9703,2.4309541135684273e-7,1.5109314798179147e-5,C04,Neoplasms,Neoplastic Process,2475;2065;120892;2051;3055;10188;5218;9833,MTOR;ERBB3;LRRK2;EPHB6;HCK;TNK2;CDK14;MELK,8,0.0326530612244898,TRUE
C1335177,Ovarian Serous Adenocarcinoma,CURATED,7/213,23/9703,4.0677818630185886e-7,2.434642774310385e-5,C04,Neoplasms,Neoplastic Process,2263;238;4914;5894;7010;120892;9748,FGFR2;ALK;NTRK1;RAF1;TEK;LRRK2;SLK,7,0.02857142857142857,TRUE
C0027819,Neuroblastoma,CURATED,9/213,47/9703,6.656982445219107e-7,3.842029868383599e-5,C04,Neoplasms,Neoplastic Process,2099;4233;238;4915;4914;6790;5243;3082;11200,ESR1;MET;ALK;NTRK2;NTRK1;AURKA;ABCB1;HGF;CHEK2,9,0.036734693877551024,TRUE
C0009171,Cocaine Abuse,CURATED,14/213,127/9703,6.959846572000238e-7,3.878314503569788e-5,C25;F03,Chemically-Induced Disorders;Mental Disorders,Mental or Behavioral Dysfunction,2100;10014;6532;627;815;1812;3351;4915;6531;148;7297;9759;2247;1133,ESR2;HDAC5;SLC6A4;BDNF;CAMK2A;DRD1;HTR1B;NTRK2;SLC6A3;ADRA1A;TYK2;HDAC4;FGF2;CHRM5,14,0.05714285714285714,TRUE
C2063866,"Depressive Disorder, Treatment-Resistant",CURATED,4/213,5/9703,1.111713542126127e-6,5.988430280252738e-5,F03,Mental Disorders,Mental or Behavioral Dysfunction,7422;6532;6530;5604,VEGFA;SLC6A4;SLC6A2;MAP2K1,4,0.0163265306122449,TRUE
C1257931,"Mammary Neoplasms, Human",CURATED,30/213,525/9703,1.3361912277564312e-6,6.747765700169978e-5,C04;C17,Neoplasms;Skin and Connective Tissue Diseases,Neoplastic Process,2263;5728;1719;25;1956;2064;2099;2100;2475;3791;6774;5970;238;367;1728;6790;5243;2065;6714;1111;1436;2050;2321;3756;3815;4193;4214;5058;5894;11200,FGFR2;PTEN;DHFR;ABL1;EGFR;ERBB2;ESR1;ESR2;MTOR;KDR;STAT3;RELA;ALK;AR;NQO1;AURKA;ABCB1;ERBB3;SRC;CHEK1;CSF1R;EPHB4;FLT1;KCNH1;KIT;MDM2;MAP3K1;PAK1;RAF1;CHEK2,30,0.12244897959183673,TRUE
C4704874,"Mammary Carcinoma, Human",CURATED,30/213,525/9703,1.3361912277564312e-6,6.747765700169978e-5,C04;C17,Neoplasms;Skin and Connective Tissue Diseases,Neoplastic Process,2263;5728;1719;25;1956;2064;2099;2100;2475;3791;6774;5970;238;367;1728;6790;5243;2065;6714;1111;1436;2050;2321;3756;3815;4193;4214;5058;5894;11200,FGFR2;PTEN;DHFR;ABL1;EGFR;ERBB2;ESR1;ESR2;MTOR;KDR;STAT3;RELA;ALK;AR;NQO1;AURKA;ABCB1;ERBB3;SRC;CHEK1;CSF1R;EPHB4;FLT1;KCNH1;KIT;MDM2;MAP3K1;PAK1;RAF1;CHEK2,30,0.12244897959183673,TRUE
C1458155,Mammary Neoplasms,CURATED,30/213,527/9703,1.445863692745763e-6,7.080350689324706e-5,C04;C17,Neoplasms;Skin and Connective Tissue Diseases,Neoplastic Process,2263;5728;1719;25;1956;2064;2099;2100;2475;3791;6774;5970;238;367;1728;6790;5243;2065;6714;1111;1436;2050;2321;3756;3815;4193;4214;5058;5894;11200,FGFR2;PTEN;DHFR;ABL1;EGFR;ERBB2;ESR1;ESR2;MTOR;KDR;STAT3;RELA;ALK;AR;NQO1;AURKA;ABCB1;ERBB3;SRC;CHEK1;CSF1R;EPHB4;FLT1;KCNH1;KIT;MDM2;MAP3K1;PAK1;RAF1;CHEK2,30,0.12244897959183673,TRUE
C0236736,Cocaine-Related Disorders,CURATED,13/213,117/9703,1.6035535573600493e-6,7.62159573145247e-5,C25;F03,Chemically-Induced Disorders;Mental Disorders,Mental or Behavioral Dysfunction,2100;10014;6532;627;815;1812;3351;4915;6531;7297;9759;2247;1133,ESR2;HDAC5;SLC6A4;BDNF;CAMK2A;DRD1;HTR1B;NTRK2;SLC6A3;TYK2;HDAC4;FGF2;CHRM5,13,0.053061224489795916,TRUE
C0005586,Bipolar Disorder,CURATED,28/213,477/9703,1.8446194597503768e-6,8.516871562733168e-5,F03,Mental Disorders,Mental or Behavioral Dysfunction,2263;2932;2099;7422;10014;6532;154;886;627;2534;815;1812;3351;4915;6530;6531;148;2066;4914;3361;152;613;1454;2065;6326;6789;9248;79837,FGFR2;GSK3B;ESR1;VEGFA;HDAC5;SLC6A4;ADRB2;CCKAR;BDNF;FYN;CAMK2A;DRD1;HTR1B;NTRK2;SLC6A2;SLC6A3;ADRA1A;ERBB4;NTRK1;HTR5A;ADRA2C;BCR;CSNK1E;ERBB3;SCN2A;STK4;GPR50;PIP4K2C,28,0.11428571428571428,TRUE
C0016978,gallbladder neoplasm,CURATED,5/213,11/9703,2.0233696321874504e-6,8.837203582743027e-5,C04;C06,Neoplasms;Digestive System Diseases,Neoplastic Process,1956;2064;886;2066;2065,EGFR;ERBB2;CCKAR;ERBB4;ERBB3,5,0.02040816326530612,TRUE
C0153452,Malignant neoplasm of gallbladder,CURATED,5/213,11/9703,2.0233696321874504e-6,8.837203582743027e-5,C04;C06,Neoplasms;Digestive System Diseases,Neoplastic Process,1956;2064;886;2066;2065,EGFR;ERBB2;CCKAR;ERBB4;ERBB3,5,0.02040816326530612,TRUE
C0600427,Cocaine Dependence,CURATED,14/213,139/9703,2.086581384473577e-6,8.873461887656053e-5,C25;F03,Chemically-Induced Disorders;Mental Disorders,Mental or Behavioral Dysfunction,2100;10014;6532;627;815;1812;3351;4915;6531;148;7297;9759;2247;1133,ESR2;HDAC5;SLC6A4;BDNF;CAMK2A;DRD1;HTR1B;NTRK2;SLC6A3;ADRA1A;TYK2;HDAC4;FGF2;CHRM5,14,0.05714285714285714,TRUE
C0017638,Glioma,CURATED,11/213,87/9703,2.8915310349813663e-6,1.1981318339820226e-4,C04,Neoplasms,Neoplastic Process,5728;1956;2064;238;4915;4914;4193;5894;6098;2247;4916,PTEN;EGFR;ERBB2;ALK;NTRK2;NTRK1;MDM2;RAF1;ROS1;FGF2;NTRK3,11,0.044897959183673466,TRUE
C4551484,Leopard Syndrome 1,CURATED,4/213,6/9703,3.2776599147430957e-6,1.3241746055562105e-4,C05;C14;C16;C17,"Musculoskeletal Diseases;Cardiovascular Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Skin and Connective Tissue Diseases",Disease or Syndrome,5728;5894;1969;5604,PTEN;RAF1;EPHA2;MAP2K1,4,0.0163265306122449,TRUE
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,CURATED,14/213,148/9703,4.402011272769207e-6,1.7172194183709663e-4,C04;C12;C13,Neoplasms;Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications,Neoplastic Process,5728;2064;2475;3791;4233;5970;238;2321;5058;7010;10461;120892;2324;65061,PTEN;ERBB2;MTOR;KDR;MET;RELA;ALK;FLT1;PAK1;TEK;MERTK;LRRK2;FLT4;CDK15,14,0.05714285714285714,TRUE
C0376358,Malignant neoplasm of prostate,CURATED,32/213,616/9703,4.463070270518601e-6,1.7172194183709663e-4,C04;C12,Neoplasms;Male Urogenital Diseases,Neoplastic Process,2932;5728;780;1548;1571;1956;2064;2099;2100;4233;6774;7422;154;6462;367;1728;3383;23476;6790;6885;2065;658;4193;4214;11200;2048;2247;6581;2264;10013;1577;51135,GSK3B;PTEN;DDR1;CYP2A6;CYP2E1;EGFR;ERBB2;ESR1;ESR2;MET;STAT3;VEGFA;ADRB2;SHBG;AR;NQO1;ICAM1;BRD4;AURKA;MAP3K7;ERBB3;BMPR1B;MDM2;MAP3K1;CHEK2;EPHB2;FGF2;SLC22A3;FGFR4;HDAC6;CYP3A5;IRAK4,32,0.1306122448979592,TRUE
C1621958,Glioblastoma Multiforme,CURATED,12/213,111/9703,5.433276416115324e-6,2.0419010903354335e-4,C04,Neoplasms,Neoplastic Process,1956;2475;4233;7422;23476;5747;5156;150094;2051;3645;1017;51701,EGFR;MTOR;MET;VEGFA;BRD4;PTK2;PDGFRA;SIK1;EPHB6;INSRR;CDK2;NLK,12,0.04897959183673469,TRUE
C0001973,"Alcoholic Intoxication, Chronic",CURATED,19/213,268/9703,6.695580723019949e-6,2.4591041928182357e-4,C25;F03,Chemically-Induced Disorders;Mental Disorders,Mental or Behavioral Dysfunction,1571;1956;6532;886;6462;627;2534;238;367;815;1812;2046;2185;3066;3351;3363;4915;6530;6531,CYP2E1;EGFR;SLC6A4;CCKAR;SHBG;BDNF;FYN;ALK;AR;CAMK2A;DRD1;EPHA8;PTK2B;HDAC2;HTR1B;HTR7;NTRK2;SLC6A2;SLC6A3,19,0.07755102040816327,TRUE
C0029463,Osteosarcoma,CURATED,8/213,47/9703,7.161843465811556e-6,2.571897564611439e-4,C04,Neoplasms,Neoplastic Process,1719;1956;4233;7422;23476;3756;11200;4486,DHFR;EGFR;MET;VEGFA;BRD4;KCNH1;CHEK2;MST1R,8,0.0326530612244898,TRUE
C0684249,Carcinoma of lung,CURATED,6/213,23/9703,7.731786920293953e-6,2.7162103615641363e-4,C04;C08,Neoplasms;Respiratory Tract Diseases,Neoplastic Process,5728;1956;2064;4915;2042;4916,PTEN;EGFR;ERBB2;NTRK2;EPHA3;NTRK3,6,0.024489795918367346,TRUE
C1833921,Familial medullary thyroid carcinoma,CURATED,3/213,3/9703,1.0442802062615252e-5,3.590546411316223e-4,C04;C16;C19,"Neoplasms;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases",Neoplastic Process,2100;4914;5979,ESR2;NTRK1;RET,3,0.012244897959183673,TRUE
C0004114,Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0033578,Prostatic Neoplasms,CURATED,31/213,616/9703,1.2127149103793227e-5,3.6429783333366604e-4,C04;C12,Neoplasms;Male Urogenital Diseases,Neoplastic Process,2932;5728;780;1548;1571;1956;2064;2099;2100;4233;6774;7422;154;6462;367;1728;3383;23476;6790;6885;2065;658;4193;4214;11200;2247;6581;2264;10013;1577;51135,GSK3B;PTEN;DDR1;CYP2A6;CYP2E1;EGFR;ERBB2;ESR1;ESR2;MET;STAT3;VEGFA;ADRB2;SHBG;AR;NQO1;ICAM1;BRD4;AURKA;MAP3K7;ERBB3;BMPR1B;MDM2;MAP3K1;CHEK2;FGF2;SLC22A3;FGFR4;HDAC6;CYP3A5;IRAK4,31,0.12653061224489795,TRUE
C0205768,Subependymal Giant Cell Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0280783,Juvenile Pilocytic Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0280785,Diffuse Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0334583,Pilocytic Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0338070,Childhood Cerebral Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0547065,Mixed oligoastrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0750935,Cerebral Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0750936,Intracranial Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C1704230,Grade I Astrocytoma,CURATED,6/213,25/9703,1.3075045998361776e-5,3.6429783333366604e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C1168401,Squamous cell carcinoma of the head and neck,CURATED,8/213,52/9703,1.5596801028586626e-5,4.2719373664738965e-4,C04,Neoplasms,Neoplastic Process,5728;1956;4233;6774;5243;10461;51086;1017,PTEN;EGFR;MET;STAT3;ABCB1;MERTK;TNNI3K;CDK2,8,0.0326530612244898,TRUE
C0334580,Protoplasmic astrocytoma,CURATED,6/213,26/9703,1.6688205556110826e-5,4.349700028818564e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0334581,Gemistocytic astrocytoma,CURATED,6/213,26/9703,1.6688205556110826e-5,4.349700028818564e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C0334582,Fibrillary Astrocytoma,CURATED,6/213,26/9703,1.6688205556110826e-5,4.349700028818564e-4,C04,Neoplasms,Neoplastic Process,2099;2100;4233;367;4915;3082,ESR1;ESR2;MET;AR;NTRK2;HGF,6,0.024489795918367346,TRUE
C3203102,Idiopathic pulmonary arterial hypertension,CURATED,5/213,16/9703,1.748528200748493e-5,4.4851136069993093e-4,C08,Respiratory Tract Diseases,Disease or Syndrome,10014;9759;94;658;3065,HDAC5;HDAC4;ACVRL1;BMPR1B;HDAC1,5,0.02040816326530612,TRUE
